SQL> select*from PROGRAMS;
         1,                                                                                                    ,                                                                                                    ,
         2,Dartmouth College                                                                                   ,ECE                                                                                                 ,MA
       244,Dartmouth College                                                                                   ,Cell Biology                                                                                        ,MSE
       245,Cornell University                                                                                  ,ChemE                                                                                               ,BS
       246,Dartmouth College                                                                                   ,EE                                                                                                  ,MSE
       247,Yale University                                                                                     ,ChemE                                                                                               ,MSE
       248,Brown University                                                                                    ,Microbiology                                                                                        ,BS
       249,University of Pennsylvania                                                                          ,Material Science                                                                                    ,MSE
       250,Cornell University                                                                                  ,CSE                                                                                                 ,BA
       251,Cornell University                                                                                  ,Cell Biology                                                                                        ,MA
       252,Cornell University                                                                                  ,BME                                                                                                 ,BA
       253,Cornell University                                                                                  ,Plant Biology                                                                                       ,MSE
       254,Harvard University                                                                                  ,EE                                                                                                  ,BA
       255,Harvard University                                                                                  ,Baby Stylist                                                                                        ,BS
       256,Dartmouth College                                                                                   ,Plant Biology                                                                                       ,MSE
       257,Harvard University                                                                                  ,Cell Biology                                                                                        ,MA
       258,Cornell University                                                                                  ,EE                                                                                                  ,MSE
       259,Dartmouth College                                                                                   ,BME                                                                                                 ,MA
       260,Cornell University                                                                                  ,Microbiology                                                                                        ,BS
       261,Cornell University                                                                                  ,Cell Biology                                                                                        ,MS
       262,Columbia University                                                                                 ,EE                                                                                                  ,MSE
       263,Dartmouth College                                                                                   ,Plant Biology                                                                                       ,MS
       264,Yale University                                                                                     ,ChemE                                                                                               ,MA
       265,Brown University                                                                                    ,BME                                                                                                 ,BA
       266,Yale University                                                                                     ,Material Science                                                                                    ,MSE
       267,Dartmouth College                                                                                   ,ChemE                                                                                               ,MS
       268,Yale University                                                                                     ,Baby Stylist                                                                                        ,MS
       269,Brown University                                                                                    ,Material Science                                                                                    ,BA
       270,Brown University                                                                                    ,Scocial Science                                                                                     ,MSE
       271,Harvard University                                                                                  ,ME                                                                                                  ,BS
       272,Brown University                                                                                    ,CSE                                                                                                 ,BS
       273,Brown University                                                                                    ,ECE                                                                                                 ,BS
        57,Dartmouth College                                                                                   ,Microbiology                                                                                        ,BA
        58,Yale University                                                                                     ,Microbiology                                                                                        ,BS
        59,University of Pennsylvania                                                                          ,Baby Stylist                                                                                        ,MS
        60,Cornell University                                                                                  ,Microbiology                                                                                        ,MA
        61,Cornell University                                                                                  ,The Art of Fun-Having                                                                               ,MSE
        62,Yale University                                                                                     ,Material Science                                                                                    ,MA
        63,University of Pennsylvania                                                                          ,BME                                                                                                 ,BA
        64,University of Pennsylvania                                                                          ,The Art of Fun-Having                                                                               ,MSE
        65,Columbia University                                                                                 ,EE                                                                                                  ,MA
        66,Brown University                                                                                    ,ChemE                                                                                               ,BS
        67,Columbia University                                                                                 ,BME                                                                                                 ,MA
        68,Cornell University                                                                                  ,Material Science                                                                                    ,MSE
        69,Brown University                                                                                    ,ME                                                                                                  ,BA
        70,University of Pennsylvania                                                                          ,CSE                                                                                                 ,MSE
        71,Columbia University                                                                                 ,BME                                                                                                 ,BA
        72,Harvard University                                                                                  ,ME                                                                                                  ,BA
        73,Columbia University                                                                                 ,Baby Stylist                                                                                        ,BS
        74,Cornell University                                                                                  ,Scocial Science                                                                                     ,BA
        75,Brown University                                                                                    ,Material Science                                                                                    ,BS
        76,Cornell University                                                                                  ,Physics                                                                                             ,MSE
        77,University of Pennsylvania                                                                          ,CSE                                                                                                 ,MS
        78,Yale University                                                                                     ,Physics                                                                                             ,BA
        79,Cornell University                                                                                  ,ME                                                                                                  ,MS
        80,Columbia University                                                                                 ,CSE                                                                                                 ,MS
        81,Brown University                                                                                    ,ChemE                                                                                               ,MSE
        82,Yale University                                                                                     ,Scocial Science                                                                                     ,BA
        83,Columbia University                                                                                 ,ChemE                                                                                               ,MSE
        84,Brown University                                                                                    ,Cell Biology                                                                                        ,BA
        85,Columbia University                                                                                 ,ME                                                                                                  ,BS
        86,Yale University                                                                                     ,CSE                                                                                                 ,MA
        87,Yale University                                                                                     ,CSE                                                                                                 ,BA
        88,Yale University                                                                                     ,Microbiology                                                                                        ,MSE
        89,Harvard University                                                                                  ,Plant Biology                                                                                       ,BA
        90,Yale University                                                                                     ,Scocial Science                                                                                     ,MSE
        91,Brown University                                                                                    ,ChemE                                                                                               ,BA
        92,Brown University                                                                                    ,Cell Biology                                                                                        ,BS
        93,Yale University                                                                                     ,EE                                                                                                  ,BA
        94,University of Pennsylvania                                                                          ,Physics                                                                                             ,MSE
        95,Columbia University                                                                                 ,ECE                                                                                                 ,MSE
        96,Brown University                                                                                    ,Plant Biology                                                                                       ,MSE
        97,Dartmouth College                                                                                   ,ME                                                                                                  ,BA
        98,Yale University                                                                                     ,Material Science                                                                                    ,BA
        99,Harvard University                                                                                  ,Baby Stylist                                                                                        ,MSE
       100,Harvard University                                                                                  ,Microbiology                                                                                        ,MS
       101,Harvard University                                                                                  ,ChemE                                                                                               ,MS
       102,Dartmouth College                                                                                   ,Plant Biology                                                                                       ,BS
       103,Harvard University                                                                                  ,Material Science                                                                                    ,BA
       104,Yale University                                                                                     ,ChemE                                                                                               ,BA
       105,Dartmouth College                                                                                   ,CSE                                                                                                 ,MSE
       106,Dartmouth College                                                                                   ,Cell Biology                                                                                        ,MS
       107,Dartmouth College                                                                                   ,Cell Biology                                                                                        ,BA
       108,Columbia University                                                                                 ,Physics                                                                                             ,MSE
       109,University of Pennsylvania                                                                          ,ChemE                                                                                               ,MSE
       110,Columbia University                                                                                 ,Microbiology                                                                                        ,MSE
       111,Harvard University                                                                                  ,Cell Biology                                                                                        ,BS
       112,Dartmouth College                                                                                   ,CSE                                                                                                 ,BA
       113,Yale University                                                                                     ,Baby Stylist                                                                                        ,MSE
       114,University of Pennsylvania                                                                          ,Baby Stylist                                                                                        ,BS
       115,Columbia University                                                                                 ,Physics                                                                                             ,BA
       116,Yale University                                                                                     ,Physics                                                                                             ,BS
       117,University of Pennsylvania                                                                          ,ECE                                                                                                 ,MS
       118,Yale University                                                                                     ,ECE                                                                                                 ,MSE
       119,University of Pennsylvania                                                                          ,Scocial Science                                                                                     ,BA
       120,Cornell University                                                                                  ,Physics                                                                                             ,BA
       121,Dartmouth College                                                                                   ,Physics                                                                                             ,MS
       122,University of Pennsylvania                                                                          ,Plant Biology                                                                                       ,MA
       123,Cornell University                                                                                  ,The Art of Fun-Having                                                                               ,BS
       124,Dartmouth College                                                                                   ,Microbiology                                                                                        ,BS
       125,Harvard University                                                                                  ,ECE                                                                                                 ,MA
       126,Dartmouth College                                                                                   ,Material Science                                                                                    ,MSE
       127,Dartmouth College                                                                                   ,Scocial Science                                                                                     ,MA
       128,Brown University                                                                                    ,ChemE                                                                                               ,MS
       129,Cornell University                                                                                  ,ChemE                                                                                               ,BA
       130,University of Pennsylvania                                                                          ,Material Science                                                                                    ,BS
       131,Harvard University                                                                                  ,Material Science                                                                                    ,MS
       132,University of Pennsylvania                                                                          ,CSE                                                                                                 ,MA
       133,Columbia University                                                                                 ,Material Science                                                                                    ,MS
       134,Yale University                                                                                     ,Baby Stylist                                                                                        ,BA
       135,University of Pennsylvania                                                                          ,The Art of Fun-Having                                                                               ,MA
       136,Dartmouth College                                                                                   ,Plant Biology                                                                                       ,BA
       137,Harvard University                                                                                  ,Physics                                                                                             ,MSE
       138,University of Pennsylvania                                                                          ,Physics                                                                                             ,MS
       139,Columbia University                                                                                 ,Baby Stylist                                                                                        ,MA
       140,Dartmouth College                                                                                   ,Physics                                                                                             ,BS
       141,Columbia University                                                                                 ,The Art of Fun-Having                                                                               ,BA
       142,Harvard University                                                                                  ,Material Science                                                                                    ,MA
       143,University of Pennsylvania                                                                          ,The Art of Fun-Having                                                                               ,MS
       144,Dartmouth College                                                                                   ,Scocial Science                                                                                     ,MS
       145,Cornell University                                                                                  ,Material Science                                                                                    ,BS
       146,Dartmouth College                                                                                   ,Microbiology                                                                                        ,MA
       147,Cornell University                                                                                  ,Baby Stylist                                                                                        ,BA
       148,Columbia University                                                                                 ,Scocial Science                                                                                     ,MSE
       149,Cornell University                                                                                  ,ECE                                                                                                 ,MS
       150,Columbia University                                                                                 ,Material Science                                                                                    ,BA
       151,Yale University                                                                                     ,Material Science                                                                                    ,MS
       152,Columbia University                                                                                 ,EE                                                                                                  ,MS
       153,Harvard University                                                                                  ,ME                                                                                                  ,MA
       154,Columbia University                                                                                 ,Physics                                                                                             ,MS
       155,Columbia University                                                                                 ,BME                                                                                                 ,BS
       156,Brown University                                                                                    ,Cell Biology                                                                                        ,MS
       157,Cornell University                                                                                  ,ECE                                                                                                 ,MA
       158,University of Pennsylvania                                                                          ,Cell Biology                                                                                        ,MSE
       159,Cornell University                                                                                  ,Plant Biology                                                                                       ,BS
       160,Yale University                                                                                     ,ECE                                                                                                 ,BS
       161,Harvard University                                                                                  ,ME                                                                                                  ,MS
       162,Harvard University                                                                                  ,ECE                                                                                                 ,BS
       163,Cornell University                                                                                  ,Cell Biology                                                                                        ,BS
       164,Harvard University                                                                                  ,CSE                                                                                                 ,BA
       165,Harvard University                                                                                  ,Scocial Science                                                                                     ,MA
       274,Cornell University                                                                                  ,BME                                                                                                 ,MSE
       275,Cornell University                                                                                  ,ChemE                                                                                               ,MA
       276,University of Pennsylvania                                                                          ,Material Science                                                                                    ,MS
       277,Brown University                                                                                    ,CSE                                                                                                 ,MS
       278,Brown University                                                                                    ,Material Science                                                                                    ,MS
       279,Yale University                                                                                     ,EE                                                                                                  ,BS
       280,Dartmouth College                                                                                   ,Microbiology                                                                                        ,MS
       281,Brown University                                                                                    ,The Art of Fun-Having                                                                               ,BS
       282,Yale University                                                                                     ,EE                                                                                                  ,MSE
       283,Dartmouth College                                                                                   ,CSE                                                                                                 ,BS
       284,Yale University                                                                                     ,ECE                                                                                                 ,MA
       285,University of Pennsylvania                                                                          ,Plant Biology                                                                                       ,MS
       286,Yale University                                                                                     ,BME                                                                                                 ,MA
       287,Harvard University                                                                                  ,CSE                                                                                                 ,MSE
       288,Brown University                                                                                    ,Plant Biology                                                                                       ,BA
       289,University of Pennsylvania                                                                          ,ME                                                                                                  ,BS
       290,Brown University                                                                                    ,Physics                                                                                             ,MS
       291,Dartmouth College                                                                                   ,BME                                                                                                 ,MSE
       292,Brown University                                                                                    ,BME                                                                                                 ,BS
       293,Harvard University                                                                                  ,Plant Biology                                                                                       ,BS
       294,Brown University                                                                                    ,CSE                                                                                                 ,MSE
       295,Yale University                                                                                     ,ME                                                                                                  ,MA
       296,University of Pennsylvania                                                                          ,EE                                                                                                  ,MSE
       297,Brown University                                                                                    ,The Art of Fun-Having                                                                               ,MSE
       298,Columbia University                                                                                 ,CSE                                                                                                 ,MSE
       299,Cornell University                                                                                  ,Physics                                                                                             ,MS
       300,Brown University                                                                                    ,BME                                                                                                 ,MA
       301,Dartmouth College                                                                                   ,Physics                                                                                             ,MSE
       302,Yale University                                                                                     ,Baby Stylist                                                                                        ,BS
       303,Yale University                                                                                     ,Plant Biology                                                                                       ,MA
       304,Yale University                                                                                     ,The Art of Fun-Having                                                                               ,BA
       305,Dartmouth College                                                                                   ,CSE                                                                                                 ,MS
       306,Cornell University                                                                                  ,Scocial Science                                                                                     ,MA
       307,Columbia University                                                                                 ,ChemE                                                                                               ,BA
       308,Brown University                                                                                    ,Baby Stylist                                                                                        ,BS
       309,Harvard University                                                                                  ,ECE                                                                                                 ,BA
       310,Harvard University                                                                                  ,The Art of Fun-Having                                                                               ,MS
       311,Columbia University                                                                                 ,Cell Biology                                                                                        ,MSE
       312,Dartmouth College                                                                                   ,ChemE                                                                                               ,MA
       313,Harvard University                                                                                  ,Physics                                                                                             ,MA
       314,Yale University                                                                                     ,The Art of Fun-Having                                                                               ,MSE
       315,Cornell University                                                                                  ,The Art of Fun-Having                                                                               ,MA
       316,Yale University                                                                                     ,Cell Biology                                                                                        ,MS
       317,Brown University                                                                                    ,ME                                                                                                  ,MS
       318,Yale University                                                                                     ,BME                                                                                                 ,MS
       319,Dartmouth College                                                                                   ,EE                                                                                                  ,BS
       320,Columbia University                                                                                 ,Microbiology                                                                                        ,BA
       321,Cornell University                                                                                  ,CSE                                                                                                 ,BS
       322,Cornell University                                                                                  ,BME                                                                                                 ,BS
       323,University of Pennsylvania                                                                          ,Material Science                                                                                    ,BA
       324,University of Pennsylvania                                                                          ,Physics                                                                                             ,BA
       325,Cornell University                                                                                  ,Cell Biology                                                                                        ,MSE
       326,Columbia University                                                                                 ,Plant Biology                                                                                       ,MS
       327,Harvard University                                                                                  ,ChemE                                                                                               ,BS
       328,Columbia University                                                                                 ,Plant Biology                                                                                       ,BS
       329,Brown University                                                                                    ,Baby Stylist                                                                                        ,MA
       330,Columbia University                                                                                 ,Physics                                                                                             ,MA
       331,Cornell University                                                                                  ,Baby Stylist                                                                                        ,MS
       332,Columbia University                                                                                 ,Baby Stylist                                                                                        ,BA
       333,Cornell University                                                                                  ,Plant Biology                                                                                       ,MS
       334,Cornell University                                                                                  ,CSE                                                                                                 ,MA
       335,University of Pennsylvania                                                                          ,Scocial Science                                                                                     ,MA
       336,Columbia University                                                                                 ,Plant Biology                                                                                       ,MSE
       337,University of Pennsylvania                                                                          ,The Art of Fun-Having                                                                               ,BS
       338,Columbia University                                                                                 ,ChemE                                                                                               ,MS
       339,Columbia University                                                                                 ,ECE                                                                                                 ,MA
       340,University of Pennsylvania                                                                          ,EE                                                                                                  ,BA
       341,Brown University                                                                                    ,EE                                                                                                  ,MSE
       342,Cornell University                                                                                  ,Material Science                                                                                    ,MA
       343,Harvard University                                                                                  ,ECE                                                                                                 ,MSE
       344,Harvard University                                                                                  ,Material Science                                                                                    ,BS
       345,Yale University                                                                                     ,Cell Biology                                                                                        ,BA
       346,Harvard University                                                                                  ,Microbiology                                                                                        ,MA
       347,Columbia University                                                                                 ,ECE                                                                                                 ,BA
       348,Cornell University                                                                                  ,ME                                                                                                  ,BS
       349,Cornell University                                                                                  ,Material Science                                                                                    ,BA
       350,Harvard University                                                                                  ,The Art of Fun-Having                                                                               ,MSE
       351,Harvard University                                                                                  ,BME                                                                                                 ,BA
       352,University of Pennsylvania                                                                          ,ChemE                                                                                               ,BS
       353,Dartmouth College                                                                                   ,Baby Stylist                                                                                        ,MS
       354,Yale University                                                                                     ,Cell Biology                                                                                        ,MA
       355,Dartmouth College                                                                                   ,EE                                                                                                  ,MS
       356,University of Pennsylvania                                                                          ,ChemE                                                                                               ,MA
       357,Yale University                                                                                     ,Plant Biology                                                                                       ,MS
       358,Cornell University                                                                                  ,Baby Stylist                                                                                        ,MA
       359,University of Pennsylvania                                                                          ,EE                                                                                                  ,BS
       360,Dartmouth College                                                                                   ,Material Science                                                                                    ,BS
       361,University of Pennsylvania                                                                          ,Baby Stylist                                                                                        ,MSE
       362,Dartmouth College                                                                                   ,Baby Stylist                                                                                        ,MA
       363,University of Pennsylvania                                                                          ,BME                                                                                                 ,BS
       364,University of Pennsylvania                                                                          ,Plant Biology                                                                                       ,MSE
       365,University of Pennsylvania                                                                          ,ECE                                                                                                 ,BA
       366,Columbia University                                                                                 ,Scocial Science                                                                                     ,MS
       367,Brown University                                                                                    ,ECE                                                                                                 ,MA
       368,Harvard University                                                                                  ,Scocial Science                                                                                     ,MS
       369,University of Pennsylvania                                                                          ,EE                                                                                                  ,MA
       370,Harvard University                                                                                  ,Microbiology                                                                                        ,BA
       371,Brown University                                                                                    ,BME                                                                                                 ,MSE
       372,Cornell University                                                                                  ,EE                                                                                                  ,BA
       373,Yale University                                                                                     ,EE                                                                                                  ,MA
       374,University of Pennsylvania                                                                          ,Microbiology                                                                                        ,BA
       375,University of Pennsylvania                                                                          ,ECE                                                                                                 ,MSE
       376,Harvard University                                                                                  ,Cell Biology                                                                                        ,MSE
       377,Harvard University                                                                                  ,ECE                                                                                                 ,MS
       378,Brown University                                                                                    ,Cell Biology                                                                                        ,MSE
       379,Cornell University                                                                                  ,Physics                                                                                             ,MA
       380,Harvard University                                                                                  ,Scocial Science                                                                                     ,BA
       381,Yale University                                                                                     ,CSE                                                                                                 ,MS
       382,Yale University                                                                                     ,Scocial Science                                                                                     ,BS
       383,Brown University                                                                                    ,Material Science                                                                                    ,MSE
       384,Columbia University                                                                                 ,ECE                                                                                                 ,MS
       385,Cornell University                                                                                  ,ECE                                                                                                 ,BA
       386,University of Pennsylvania                                                                          ,Scocial Science                                                                                     ,BS
       387,Brown University                                                                                    ,Baby Stylist                                                                                        ,BA
       388,Cornell University                                                                                  ,Microbiology                                                                                        ,MS
       389,Dartmouth College                                                                                   ,Scocial Science                                                                                     ,MSE
       390,Brown University                                                                                    ,Baby Stylist                                                                                        ,MS
       391,Yale University                                                                                     ,BME                                                                                                 ,MSE
       392,Brown University                                                                                    ,Physics                                                                                             ,MSE
       393,Yale University                                                                                     ,Baby Stylist                                                                                        ,MA
       394,University of Pennsylvania                                                                          ,Plant Biology                                                                                       ,BA
       395,Dartmouth College                                                                                   ,Scocial Science                                                                                     ,BS
       396,Harvard University                                                                                  ,Baby Stylist                                                                                        ,BA
       397,Harvard University                                                                                  ,Cell Biology                                                                                        ,MS
       398,Brown University                                                                                    ,ECE                                                                                                 ,BA
       399,Columbia University                                                                                 ,ME                                                                                                  ,MS
       400,Columbia University                                                                                 ,Scocial Science                                                                                     ,BS
       401,Yale University                                                                                     ,ChemE                                                                                               ,MS
       402,University of Pennsylvania                                                                          ,Scocial Science                                                                                     ,MSE
       403,Brown University                                                                                    ,The Art of Fun-Having                                                                               ,BA
       404,Columbia University                                                                                 ,Physics                                                                                             ,BS
       405,Yale University                                                                                     ,Scocial Science                                                                                     ,MA
       406,Yale University                                                                                     ,Physics                                                                                             ,MSE
       407,Cornell University                                                                                  ,EE                                                                                                  ,MA
       408,Columbia University                                                                                 ,ECE                                                                                                 ,BS
       409,Columbia University                                                                                 ,Cell Biology                                                                                        ,MA
       410,Harvard University                                                                                  ,EE                                                                                                  ,MS
       411,University of Pennsylvania                                                                          ,CSE                                                                                                 ,BS
       412,Brown University                                                                                    ,Physics                                                                                             ,MA
       413,Brown University                                                                                    ,Plant Biology                                                                                       ,BS
       414,Cornell University                                                                                  ,The Art of Fun-Having                                                                               ,BA
       415,Dartmouth College                                                                                   ,ECE                                                                                                 ,MSE
       416,Harvard University                                                                                  ,CSE                                                                                                 ,MA
       417,Yale University                                                                                     ,ME                                                                                                  ,MSE
       418,Dartmouth College                                                                                   ,Microbiology                                                                                        ,MSE
       419,University of Pennsylvania                                                                          ,Material Science                                                                                    ,MA
       420,Dartmouth College                                                                                   ,ECE                                                                                                 ,BA
       421,Cornell University                                                                                  ,ECE                                                                                                 ,BS
       422,Cornell University                                                                                  ,The Art of Fun-Having                                                                               ,MS
       423,Brown University                                                                                    ,Microbiology                                                                                        ,BA
       424,Brown University                                                                                    ,Microbiology                                                                                        ,MA
       425,Columbia University                                                                                 ,BME                                                                                                 ,MS
       426,Cornell University                                                                                  ,CSE                                                                                                 ,MSE
       427,Yale University                                                                                     ,Material Science                                                                                    ,BS
       428,Cornell University                                                                                  ,Scocial Science                                                                                     ,MS
       429,University of Pennsylvania                                                                          ,BME                                                                                                 ,MSE
